Entity,Life expectancy,GDP
Afghanistan,64.486,1934.56
Albania,78.458,11104.17
Algeria,76.693,14228.03
Angola,60.782,7771.44
Argentina,76.52,18556.38
Armenia,74.945,11454.43
Australia,83.281,49830.8
Austria,81.434,42988.07
Azerbaijan,72.864,16628.06
Bahrain,77.163,39498.77
Bangladesh,72.32,4099.25
Barbados,79.081,11995.19
Belarus,74.59,18727.32
Belgium,81.468,39756.2
Benin,61.47,2220.18
Bolivia,71.239,6695.77
Bosnia and Herzegovina,77.262,10460.52
Botswana,69.275,15842.13
Brazil,75.672,14033.57
Bulgaria,74.928,18444.26
Burkina Faso,61.174,1589.62
Burundi,61.247,651.36
Cambodia,69.57,3628.56
Cameroon,58.921,2888.05
Canada,82.315,44868.74
Cape Verde,72.782,6831.22
Central African Republic,52.805,623.49
Chad,53.977,2046.36
Chile,80.042,22104.77
China,76.704,13101.71
Colombia,77.109,13545.05
Comoros,64.118,1724.42
Congo,64.29,5714.59
Costa Rica,80.095,14686.25
Cote d'Ivoire,57.422,3713.64
Croatia,78.342,22012.31
Cuba,78.726,8325.63
Cyprus,80.828,27184.42
Czechia,79.222,30748.51
Democratic Republic of Congo,60.368,859.38
Denmark,80.784,46312.34
Djibouti,66.582,3295.68
Dominican Republic,73.892,15912.4
Ecuador,76.8,10638.83
Egypt,71.825,11957.21
El Salvador,73.096,8598.2
Equatorial Guinea,58.402,28528.95
Estonia,78.567,27408.66
Eswatini,59.401,8068.21
Ethiopia,66.24,1838.49
Finland,81.736,38896.7
France,82.541,38515.92
Gabon,66.187,17613.56
Gambia,61.735,1882.24
Georgia,73.6,11984.9
Germany,81.18,46177.62
Ghana,63.78,4267.07
Greece,82.072,23450.77
Guatemala,74.063,7402.11
Guinea,58.322,1606.47
Guinea-Bissau,74.302,1501.41
Haiti,63.66,1729.04
Honduras,75.088,5041.64
Hong Kong,84.687,50839.37
Hungary,76.701,25622.81
Iceland,82.855,43438.54
India,69.416,6806.5
Indonesia,71.509,11851.74
Iran,76.479,17011.3
Iraq,70.454,12835.81
Ireland,82.103,64684.3
Israel,82.819,32954.77
Italy,83.352,34364.17
Jamaica,74.368,7272.98
Japan,84.47,38673.81
Jordan,74.405,11506.34
Kazakhstan,73.236,25307.56
Kenya,66.342,3377.47
Kuwait,75.398,65520.74
Kyrgyzstan,71.321,5176.99
Laos,67.61,6450.91
Latvia,75.172,24312.68
Lebanon,78.875,12558.97
Lesotho,53.705,2731.47
Liberia,63.73,818.42
Libya,72.724,15013.31
Lithuania,75.737,27370.55
Luxembourg,82.102,57427.5
Madagascar,66.681,1427.6
Malawi,63.798,1116.64
Malaysia,75.997,24842.36
Mali,58.893,1667.3
Malta,82.376,32028.91
Mauritania,64.704,3457.52
Mauritius,74.863,20138.57
Mexico,74.992,16494.08
Moldova,71.808,6746.73
Mongolia,69.689,13382.54
Montenegro,76.77,19504.16
Morocco,76.453,8451.14
Mozambique,60.163,1132.77
Myanmar,66.867,5838.22
Namibia,63.373,9043.12
Nepal,70.478,2727.42
Netherlands,82.143,47474.11
New Zealand,82.145,35336.14
Nicaragua,74.275,4952.48
Niger,62.024,964.66
Nigeria,54.332,5237.66
North Korea,72.095,1596.35
North Macedonia,75.688,13074.23
Norway,82.271,84580.14
Oman,77.633,36477.64
Pakistan,67.114,5510.4
Palestine,73.895,5207.76
Panama,78.329,22637.15
Paraguay,74.131,9338.95
Peru,76.516,12310.08
Philippines,71.095,8139.14
Poland,78.544,27455.24
Portugal,81.857,27035.6
Puerto Rico,79.952,35076.29
Qatar,80.1,153764.16
Romania,75.924,20126.29
Russia,72.386,24668.91
Rwanda,68.7,1929.29
Saint Lucia,76.057,10475.37
Sao Tome and Principe,70.17,3730.2
Saudi Arabia,74.998,50304.75
Senegal,67.665,2617.12
Serbia,75.849,14124.12
Seychelles,73.333,29531.06
Sierra Leone,54.309,1683.85
Singapore,83.458,68402.35
Slovakia,77.388,27075.53
Slovenia,81.172,29244.92
South Korea,82.846,37927.61
Spain,83.433,31496.52
Sri Lanka,76.812,11662.91
Sudan,65.095,3379.6
Sweden,82.654,45541.89
Switzerland,83.63,61372.73
Syria,71.779,3349.46
Taiwan,80.283,44663.86
Tajikistan,70.879,4440.38
Tanzania,65.015,2874.96
Thailand,76.931,16648.62
Togo,60.76,1451.36
Trinidad and Tobago,73.38,28549.41
Tunisia,76.505,11353.89
Turkey,77.437,19270.22
Turkmenistan,68.073,26318.37
Uganda,62.973,2045.42
Ukraine,71.953,9813.36
United Arab Emirates,77.814,76397.82
United Kingdom,81.236,38058.09
United States,80.583,55334.74
Uruguay,77.77,20185.84
Uzbekistan,71.573,11220.37
Venezuela,72.128,10709.95
Vietnam,75.317,6814.14
Yemen,66.096,2284.89
Zambia,63.51,3534.03
Zimbabwe,61.195,1611.41